재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기 3분기말	전기말	전전기말	
 자본변동표, 기타 - 별도	[440290]	HB인베스트먼트	코스닥시장상장법인	649	기타 금융업	12	2025-09-30	3분기보고서	KRW	ifrs-full_IncreaseDecreaseThroughExerciseOfWarrantsEquity	               주식매입권 행사로 인한 증가(감소), 자본			
 자본변동표, 기타 - 별도	[440290]	HB인베스트먼트	코스닥시장상장법인	649	기타 금융업	12	2025-09-30	3분기보고서	KRW	ifrs-full_IssueOfEquity	               유상증자			
 자본변동표, 기타 - 별도	[440290]	HB인베스트먼트	코스닥시장상장법인	649	기타 금융업	12	2025-09-30	3분기보고서	KRW	ifrs-full_Equity	         자본총계	13,553,505,000		
 자본변동표, 기타 - 별도	[440290]	HB인베스트먼트	코스닥시장상장법인	649	기타 금융업	12	2025-09-30	3분기보고서	KRW	dart_EquityAtBeginningOfPeriod	         기초자본	19,730,226,000		
 자본변동표, 기타 - 별도	[440290]	HB인베스트먼트	코스닥시장상장법인	649	기타 금융업	12	2025-09-30	3분기보고서	KRW	ifrs-full_IncreaseDecreaseThroughExerciseOfWarrantsEquity	               주식매입권 행사로 인한 증가(감소), 자본			
 자본변동표, 기타 - 별도	[440290]	HB인베스트먼트	코스닥시장상장법인	649	기타 금융업	12	2025-09-30	3분기보고서	KRW	ifrs-full_IssueOfEquity	               유상증자			
 자본변동표, 기타 - 별도	[440290]	HB인베스트먼트	코스닥시장상장법인	649	기타 금융업	12	2025-09-30	3분기보고서	KRW	ifrs-full_Equity	         자본총계	19,730,226,000		
 자본변동표, 기타 - 별도	[440290]	HB인베스트먼트	코스닥시장상장법인	649	기타 금융업	12	2025-09-30	3분기보고서	KRW	dart_EquityAtBeginningOfPeriod	         기초자본	19,730,226,000		
 자본변동표, 기타 - 별도	[440290]	HB인베스트먼트	코스닥시장상장법인	649	기타 금융업	12	2025-09-30	3분기보고서	KRW	ifrs-full_IncreaseDecreaseThroughExerciseOfWarrantsEquity	               주식매입권 행사로 인한 증가(감소), 자본			
 자본변동표, 기타 - 별도	[440290]	HB인베스트먼트	코스닥시장상장법인	649	기타 금융업	12	2025-09-30	3분기보고서	KRW	ifrs-full_IssueOfEquity	               유상증자			
 자본변동표, 기타 - 별도	[440290]	HB인베스트먼트	코스닥시장상장법인	649	기타 금융업	12	2025-09-30	3분기보고서	KRW	ifrs-full_Equity	         자본총계	19,730,226,000		
 자본변동표, 기타 - 별도	[440290]	HB인베스트먼트	코스닥시장상장법인	649	기타 금융업	12	2025-09-30	3분기보고서	KRW	dart_EquityAtBeginningOfPeriod	         기초자본	1,148,052,000		
 자본변동표, 기타 - 별도	[440290]	HB인베스트먼트	코스닥시장상장법인	649	기타 금융업	12	2025-09-30	3분기보고서	KRW	ifrs-full_IncreaseDecreaseThroughExerciseOfWarrantsEquity	               주식매입권 행사로 인한 증가(감소), 자본			
