재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기 반기말	전기말	전전기말	
재무상태표, 유동/비유동법-연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_EquityAttributableToOwnersOfParent	   지배기업의 소유주에게 귀속되는 자본	34,870,441,401	34,371,682,381	
재무상태표, 유동/비유동법-연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_IssuedCapital	      자본금	22,386,071,500	22,386,071,500	
재무상태표, 유동/비유동법-연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	dart_CapitalSurplus	      기타불입자본	43,664,880,187	43,664,880,187	
재무상태표, 유동/비유동법-연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_RetainedEarnings	      이익잉여금(결손금)	-31,170,967,445	-31,672,784,858	
재무상태표, 유동/비유동법-연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	dart_ElementsOfOtherStockholdersEquity	      기타자본구성요소	-9,542,841	-6,484,448	
재무상태표, 유동/비유동법-연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_NoncontrollingInterests	   비지배지분	0	0	
재무상태표, 유동/비유동법-연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_Equity	   자본총계	34,870,441,401	34,371,682,381	
재무상태표, 유동/비유동법-연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_EquityAndLiabilities	부채 및 자본 총계	51,617,581,844	53,329,221,212	
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	ifrs_AssetsAbstract	자산 [abstract]			
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	ifrs_CurrentAssets	   유동자산	476,167,300,967	1,511,355,997,808	
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	ifrs_CashAndCashEquivalents	      현금및현금성자산	210,791,823,396	53,509,862,897	
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	dart_ShortTermDepositsNotClassifiedAsCashEquivalents	      단기금융상품	22,184,121,303	32,129,367,822	
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	ifrs_TradeAndOtherCurrentReceivables	      매출채권 및 기타유동채권	109,806,968,199	80,862,783,752	
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	ifrs_Inventories	      재고자산	66,499,352,790	51,456,822,550	
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	ifrs_OtherCurrentFinancialAssets	      기타유동금융자산	36,599,226,707	28,818,972,016	
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	dart_OtherCurrentAssets	      기타유동자산	30,285,808,572	21,265,741,197	
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	entity00365387_udf_BS_2018111316754511_CurrentAssets	      매각예정비유동자산		1,243,312,447,574	
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	ifrs_NoncurrentAssets	   비유동자산	1,264,677,505,493	1,063,783,463,551	
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	dart_LongTermDepositsNotClassifiedAsCashEquivalents	      장기금융상품	630,781,829	502,320,717	
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	entity00365387_udf_BS_2019322151417802_NoncurrentAssets	      당기손익인식공정가치측정금융자산	52,380,474,923	23,045,100,547	
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	ifrs_NoncurrentFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome	      기타포괄손익-공정가치 측정 금융자산	7,634,838,237	7,352,135,211	
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	entity00365387_udf_BS_20171113195237304_NoncurrentAssets	      관계회사투자	8,470,675,563	15,112,548,198	
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	dart_RentalAssetGross	      렌탈자산	619,978,937,039	589,658,906,950	
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	ifrs_PropertyPlantAndEquipment	      유형자산	249,797,053,901	245,055,468,592	
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	ifrs_IntangibleAssetsOtherThanGoodwill	      무형자산	99,334,918,079	79,481,799,795	
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	ifrs_InvestmentProperty	      투자부동산	1,885,431,376	1,904,623,279	
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	ifrs_RightofuseAssets	      사용권자산	127,025,179,348		
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	ifrs_OtherNoncurrentFinancialAssets	      기타비유동금융자산	78,110,348,371	90,723,567,321	
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	dart_OtherNonCurrentAssets	      기타비유동자산	2,244,829,130	2,323,637,197	
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	ifrs_DeferredTaxAssets	      이연법인세자산	17,184,037,697	8,623,355,744	
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	ifrs_Assets	   자산총계	1,740,844,806,460	2,575,139,461,359	
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	ifrs_LiabilitiesAbstract	부채 [abstract]			
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	ifrs_CurrentLiabilities	   유동부채	745,156,438,862	1,609,070,172,105	
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	ifrs_TradeAndOtherCurrentPayables	      매입채무 및 기타유동채무	46,155,320,020	39,290,731,138	
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	ifrs_ShorttermBorrowings	      단기차입금	260,723,374,546	257,683,028,520	
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	ifrs_CurrentPortionOfLongtermBorrowings	      유동성장기차입금	127,916,250,191	147,316,609,359	
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	dart_CurrentPortionOfBonds	      유동성사채	153,324,731,240	164,875,893,312	
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	ifrs_OtherCurrentFinancialLiabilities	      기타유동금융부채	53,594,736,985	52,575,536,895	
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	dart_OtherCurrentLiabilities	      기타유동부채	13,033,650,978	11,046,261,687	
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	entity00365387_udf_BS_20195142095037_CurrentLiabilities	      유동성리스부채	23,166,896,407		
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	ifrs_CurrentTaxLiabilities	      당기법인세부채	67,241,478,495	1,666,918,079	
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	entity00365387_udf_BS_20181113161153251_CurrentLiabilities	      매각예정비유동부채		934,615,193,115	
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	ifrs_NoncurrentLiabilities	   비유동부채	597,232,872,100	474,261,316,507	
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	dart_BondsIssued	      사채	193,448,456,041	188,924,965,068	
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	dart_LongTermBorrowingsGross	      장기차입금	277,364,166,143	254,210,491,192	
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	ifrs_OtherNoncurrentFinancialLiabilities	      기타비유동금융부채	11,099,391,570	11,938,867,066	
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	dart_OtherNonCurrentLiabilities	      기타비유동부채	4,806,000,905	3,746,723,889	
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	ifrs_NoncurrentLeaseLiabilities	      비유동리스부채	108,178,770,069		
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	ifrs_DeferredTaxLiabilities	      이연법인세부채	2,336,087,372	15,440,269,292	
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	ifrs_Liabilities	   부채총계	1,342,389,310,962	2,083,331,488,612	
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	ifrs_EquityAbstract	자본 [abstract]			
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	ifrs_EquityAttributableToOwnersOfParent	   지배기업의 소유주에게 귀속되는 자본	378,387,332,364	287,087,399,701	
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	ifrs_IssuedCapital	      자본금	46,822,295,000	46,822,295,000	
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	dart_CapitalSurplus	      자본잉여금	106,660,643,228	105,883,019,120	
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	dart_ElementsOfOtherStockholdersEquity	      자본조정	-21,912,834,139	-22,058,673,120	
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	dart_OtherComprehensiveIncomeLossAccumulatedAmount	      기타포괄손익누계액	-2,025,295,783	-733,914,250	
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	ifrs_RetainedEarnings	      이익잉여금(결손금)	248,842,524,058	157,174,672,951	
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	ifrs_NoncontrollingInterests	   비지배지분	20,068,163,134	204,720,573,046	
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	ifrs_Equity	   자본총계	398,455,495,498	491,807,972,747	
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	ifrs_EquityAndLiabilities	자본과부채총계	1,740,844,806,460	2,575,139,461,359	
재무상태표, 유동/비유동법-연결재무제표	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2019-06-30	반기보고서	KRW	ifrs_AssetsAbstract	자산 [abstract]			
재무상태표, 유동/비유동법-연결재무제표	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2019-06-30	반기보고서	KRW	ifrs_CurrentAssets	   유동자산	1,309,891,410,324	1,306,700,266,118	
재무상태표, 유동/비유동법-연결재무제표	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2019-06-30	반기보고서	KRW	ifrs_CashAndCashEquivalents	      현금및현금성자산	201,269,901,202	511,412,915,293	
재무상태표, 유동/비유동법-연결재무제표	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2019-06-30	반기보고서	KRW	dart_ShortTermTradeReceivable	      매출채권	297,759,985,390	268,844,631,124	
재무상태표, 유동/비유동법-연결재무제표	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2019-06-30	반기보고서	KRW	entity00125080_udf_BS_20171110123425413_CurrentAssets	      기타수취채권	29,112,041,349	46,992,688,879	
재무상태표, 유동/비유동법-연결재무제표	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2019-06-30	반기보고서	KRW	entity00125080_udf_BS_2019329164336214_CurrentAssets	      당기손익-공정가치측정금융자산	411,939,150,489	124,917,768,149	
재무상태표, 유동/비유동법-연결재무제표	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2019-06-30	반기보고서	KRW	ifrs_CurrentFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome	      기타포괄손익-공정가치측정금융자산	16,524,224	16,524,224	
재무상태표, 유동/비유동법-연결재무제표	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2019-06-30	반기보고서	KRW	dart_CurrentDerivativeAsset	      유동파생상품자산	1,655,628,679	539,701,628	
