재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기 반기 3개월 	당기 반기 누적 	전기 반기 3개월 	전기 반기 누적 	전기	전전기
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_ProfitLossAttributableToNoncontrollingInterests	   비지배지분	0	0	0	0		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_ComprehensiveIncomeAttributableToAbstract	총 포괄이익(손실)의 귀속						
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent	   지배기업 소유주지분	-281,449,866	504,271,698	-498,221,527	-1,672,945,779		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests	   비지배지분	0	0	0	0		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_EarningsPerShareAbstract	주당손실						
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_BasicEarningsLossPerShare	   기본및희석주당이익	-6	11	-10	-37		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	ifrs_Revenue	영업수익	296,840,237,855	574,373,306,923	254,464,921,024	513,252,697,387		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	ifrs_CostOfSales	영업비용	285,975,809,206	556,480,819,680	252,761,989,922	507,299,438,444		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	dart_OperatingIncomeLoss	영업이익(손실)	10,864,428,649	17,892,487,243	1,702,931,102	5,953,258,943		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	dart_OtherGains	기타수익	1,970,780,230	5,008,948,126	744,554,285	11,286,425,307		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	dart_OtherLosses	기타비용	5,805,164,018	10,378,852,252	947,285,200	2,951,594,981		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	entity00365387_udf_IS_2019514202052434_StatementOfComprehensiveIncomeAbstract	매각예정비유동자산처분이익		153,359,196,256				
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	entity00365387_udf_IS_20171113224127216_StatementOfComprehensiveIncomeAbstract	관계회사투자손익	476,329,376	55,091,041	-231,655,534	-28,116,729		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	ifrs_FinanceIncome	금융수익	2,324,168,680	4,319,394,039	2,873,084,881	3,685,075,381		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	ifrs_FinanceCosts	금융비용	13,886,286,542	25,396,992,995	10,127,364,034	18,284,873,697		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	ifrs_ProfitLossBeforeTax	법인세비용차감전순이익(손실)	-4,055,743,625	144,859,271,458	-5,985,734,500	-339,825,776		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	ifrs_IncomeTaxExpenseContinuingOperations	법인세비용	25,692,687,682	47,130,577,609	829,981,912	4,164,957,586		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	ifrs_ProfitLoss	반기순이익(손실)	-29,748,431,307	97,728,693,849	-4,738,628,954	5,243,596,671		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	entity00365387_udf_IS_20181113161856731_StatementOfComprehensiveIncomeAbstract	계속영업당기순이익(손실)	-29,748,431,307	97,728,693,849	-6,815,716,412	-4,504,783,362		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	entity00365387_udf_IS_20181113161857470_StatementOfComprehensiveIncomeAbstract	중단영업당기순이익			2,077,087,458	9,748,380,033		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	ifrs_OtherComprehensiveIncome	기타포괄손익	-495,204,813	-498,069,705	-1,089,609,975	-1,050,612,866		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	entity00365387_udf_IS_2019322154521579_StatementOfComprehensiveIncomeAbstract	기타포괄손익-공정가치 측정 금융자산 평가이익(손실)	-164,075,058	-930,276,713	-188,041,296	-242,953,304		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	entity00365387_udf_IS_2019813105615714_StatementOfComprehensiveIncomeAbstract	파생상품평가이익(손실)			-479,395,241	-479,395,241		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	entity00365387_udf_IS_201881320428556_StatementOfComprehensiveIncomeAbstract	(부의)지분법자본변동			34,621			
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	entity00365387_udf_IS_2019515172518350_StatementOfComprehensiveIncomeAbstract	해외사업환산이익	-331,129,755	432,207,008	-422,208,059	-328,264,321		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	ifrs_ComprehensiveIncome	총포괄손익	-30,243,636,120	97,230,624,144	-5,828,238,929	4,192,983,805		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	ifrs_ProfitLossAttributableToAbstract	당기순이익(손실)의 귀속 [abstract]						
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	ifrs_ProfitLossAttributableToOwnersOfParent	   지배회사소유주지분	-29,929,138,074	96,350,080,607	-5,504,216,209	618,647,574		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	ifrs_ProfitLossAttributableToNoncontrollingInterests	   비지배지분	180,706,767	1,378,613,242	765,587,255	4,624,949,097		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	ifrs_ComprehensiveIncomeAttributableToAbstract	총 포괄손익의 귀속 [abstract]						
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	ifrs_ComprehensiveIncomeAttributableToOwnersOfParent	   지배회사소유주지분	-30,480,409,917	95,748,593,716	-6,151,514,744	-31,120,965		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	ifrs_ComprehensiveIncomeAttributableToNoncontrollingInterests	   비지배지분	236,773,797	1,482,030,428	323,275,815	4,224,104,770		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	ifrs_EarningsPerShareAbstract	주당이익 [abstract]						
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	ifrs_BasicEarningsLossPerShare	   계속영업주당이익(손실)	-639	2,058	-152	-90		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2019-06-30	반기보고서	KRW	entity00365387_udf_IS_20181113162146138_EarningsPerShareAbstract	   중단영업주당이익			34	103		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2019-06-30	반기보고서	KRW	ifrs_Revenue	수익(매출액)	890,728,177,941	1,887,570,037,402	893,620,123,297	1,810,201,750,293		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2019-06-30	반기보고서	KRW	ifrs_CostOfSales	매출원가	685,258,147,922	1,391,083,198,920	644,603,811,451	1,276,194,213,410		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2019-06-30	반기보고서	KRW	ifrs_GrossProfit	매출총이익	205,470,030,019	496,486,838,482	249,016,311,846	534,007,536,883		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2019-06-30	반기보고서	KRW	dart_TotalSellingGeneralAdministrativeExpenses	판매비와관리비	195,405,636,851	389,022,068,109	192,897,745,568	380,396,372,375		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2019-06-30	반기보고서	KRW	dart_OperatingIncomeLoss	영업이익(손실)	10,064,393,168	107,464,770,373	56,118,566,278	153,611,164,508		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2019-06-30	반기보고서	KRW	dart_OtherGains	기타이익	12,409,103,378	18,025,934,212	6,011,091,493	11,279,799,227		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2019-06-30	반기보고서	KRW	dart_OtherLosses	기타손실	18,408,423,777	32,583,216,096	9,992,402,333	15,390,483,312		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2019-06-30	반기보고서	KRW	ifrs_FinanceIncome	금융수익	10,069,916,300	26,792,327,165	14,888,163,657	21,141,016,815		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2019-06-30	반기보고서	KRW	ifrs_FinanceCosts	금융원가	22,650,956,770	42,682,419,720	4,975,947,146	17,073,962,959		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2019-06-30	반기보고서	KRW	entity00125080_udf_IS_20171110124754884_StatementOfComprehensiveIncomeAbstract	관계기업에 대한 지분법손익	5,006,897,773	9,253,953,763	8,253,852,356	8,702,508,647		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2019-06-30	반기보고서	KRW	ifrs_ProfitLossBeforeTax	법인세비용차감전순이익(손실)	-3,509,069,928	86,271,349,697	70,303,324,305	162,270,042,926		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2019-06-30	반기보고서	KRW	ifrs_IncomeTaxExpenseContinuingOperations	법인세비용	-6,483,910,284	13,557,991,740	16,605,057,265	37,957,491,859		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2019-06-30	반기보고서	KRW	ifrs_ProfitLoss	당기순이익(손실)	2,974,840,356	72,713,357,957	53,698,267,040	124,312,551,067		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2019-06-30	반기보고서	KRW	entity00125080_udf_IS_201711101253162_ProfitLoss	   지배기업의 소유주 지분	3,874,623,186	41,221,433,742	25,859,005,092	63,829,072,110		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2019-06-30	반기보고서	KRW	entity00125080_udf_IS_20171110125339361_ProfitLoss	   비지배지분	-899,782,830	31,491,924,215	27,839,261,948	60,483,478,957		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2019-06-30	반기보고서	KRW	ifrs_OtherComprehensiveIncome	기타포괄손익	1,878,187,110	3,498,621,909	1,587,269,357	1,265,429,650		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2019-06-30	반기보고서	KRW	dart_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax	   당기손익으로 재분류되지 않는항목(세후기타포괄손익)						
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2019-06-30	반기보고서	KRW	entity00125080_udf_IS_201981310364973_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax	      확정급여부채재측정요소	-2,842,333	-2,842,333	-146,276,339	-146,276,339		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2019-06-30	반기보고서	KRW	entity00125080_udf_IS_20171110124926537_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax	      지분법이익잉여금변동	-356,168,163	-159,582,554	-49,922,681	34,374,676		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2019-06-30	반기보고서	KRW	entity00125080_udf_IS_2018813131431559_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax	      기타포괄손익-공정가치측정지분상품평가손익	6,948,783	14,443,296	4,715,935	-14,615,150		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2019-06-30	반기보고서	KRW	dart_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax	   당기손익으로 재분류될 수 있는 항목(세후기타포괄손익)						
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2019-06-30	반기보고서	KRW	entity00125080_udf_IS_2018813131555940_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax	      파생상품평가손익	1,254,883,886	1,874,898,664	244,502,846	134,639,890		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2019-06-30	반기보고서	KRW	ifrs_GainsLossesOnExchangeDifferencesOnTranslationNetOfTax	      해외사업장환산외환차이(세후기타포괄손익)	982,074,389	1,775,431,885	1,372,075,958	1,131,263,222		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2019-06-30	반기보고서	KRW	dart_ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethodThatWillBeReclassifiedToProfitOrLossNetOfTax	      지분법 적용대상 관계기업과 공동기업의 기타포괄손익에 대한 지분(세후기타포괄손익)	-6,709,452	-3,727,049	162,173,638	126,043,351		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2019-06-30	반기보고서	KRW	ifrs_ComprehensiveIncome	총포괄손익	4,853,027,466	76,211,979,866	55,285,536,397	125,577,980,717		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2019-06-30	반기보고서	KRW	ifrs_ComprehensiveIncomeAttributableToAbstract	총 포괄손익의 귀속 [abstract]						
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2019-06-30	반기보고서	KRW	ifrs_ComprehensiveIncomeAttributableToOwnersOfParent	   지배기업의 소유주 지분	5,221,673,507	43,882,102,226	26,970,990,222	64,878,408,628		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2019-06-30	반기보고서	KRW	ifrs_ComprehensiveIncomeAttributableToNoncontrollingInterests	   비지배지분	-368,646,041	32,329,877,640	28,314,546,175	60,699,572,089		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2019-06-30	반기보고서	KRW	ifrs_EarningsPerShareAbstract	주당순이익						
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2019-06-30	반기보고서	KRW	ifrs_BasicEarningsLossPerShare	   기본주당이익	297	3,160	2,005	4,928		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2019-06-30	반기보고서	KRW	ifrs_DilutedEarningsLossPerShare	   희석주당이익(손실)	297	3,160	2,005	4,928		
포괄손익계산서, 기능별 분류(세전기타포괄손익) - 연결재무제표(선택)	[054620]	APS홀딩스	코스닥시장상장법인	649	기타 금융업	12	2019-06-30	반기보고서	KRW	ifrs_Revenue	수익(매출액)	5,357,548,874	10,031,737,877	6,028,356,572	11,334,764,866		
포괄손익계산서, 기능별 분류(세전기타포괄손익) - 연결재무제표(선택)	[054620]	APS홀딩스	코스닥시장상장법인	649	기타 금융업	12	2019-06-30	반기보고서	KRW	ifrs_CostOfSales	매출원가	3,257,581,763	6,263,191,764	3,132,204,239	5,951,919,650		
