Strategy,Date,Ticker,Name,Entry_Price,Predicted_Return_AI,Actual_Return_Strategy,Days_Held,Exit_Reason
V6_Strategy,2024-11-11,450140,코오롱모빌리티그룹,2075,0.014940409779685356,-0.03,1,Stop_Loss
V7_Aggressive,2024-11-11,450140,코오롱모빌리티그룹,2075,0.014940409779685356,-0.05,1,Stop_Loss
V8_Balanced,2024-11-11,450140,코오롱모빌리티그룹,2075,0.014940409779685356,-0.05,1,Stop_Loss
V5_Baseline,2024-11-12,000220,유유제약,4010,0.014400530928344119,0.059850374064837904,5,Time_Cut
V6_Strategy,2024-11-12,000220,유유제약,4010,0.014400530928344119,0.07,4,Take_Profit
V7_Aggressive,2024-11-12,000220,유유제약,4010,0.014400530928344119,0.059850374064837904,5,Time_Cut
V8_Balanced,2024-11-12,000220,유유제약,4010,0.014400530928344119,0.05,4,Take_Profit
V5_Baseline,2024-11-12,001380,SG글로벌,2465,0.014374921404381596,0.5152129817444219,5,Time_Cut
V6_Strategy,2024-11-12,001380,SG글로벌,2465,0.014374921404381596,-0.03,1,Stop_Loss
V7_Aggressive,2024-11-12,001380,SG글로벌,2465,0.014374921404381596,-0.05,2,Stop_Loss
V8_Balanced,2024-11-12,001380,SG글로벌,2465,0.014374921404381596,-0.05,2,Stop_Loss
V5_Baseline,2024-11-12,003555,LG우,57800,0.012768541434437014,0.015570934256055362,5,Time_Cut
V6_Strategy,2024-11-12,003555,LG우,57800,0.012768541434437014,0.015570934256055362,5,Time_Cut
V7_Aggressive,2024-11-12,003555,LG우,57800,0.012768541434437014,0.015570934256055362,5,Time_Cut
V8_Balanced,2024-11-12,003555,LG우,57800,0.012768541434437014,0.015570934256055362,5,Time_Cut
V5_Baseline,2024-11-12,004710,한솔테크닉스,4200,0.015909411905723165,-0.009761904761904762,5,Time_Cut
V6_Strategy,2024-11-12,004710,한솔테크닉스,4200,0.015909411905723165,-0.03,1,Stop_Loss
V7_Aggressive,2024-11-12,004710,한솔테크닉스,4200,0.015909411905723165,-0.05,2,Stop_Loss
V8_Balanced,2024-11-12,004710,한솔테크닉스,4200,0.015909411905723165,-0.05,2,Stop_Loss
V5_Baseline,2024-11-12,007810,코리아써키트,8590,0.013126049897657277,-0.050058207217694994,5,Time_Cut
V6_Strategy,2024-11-12,007810,코리아써키트,8590,0.013126049897657277,-0.03,1,Stop_Loss
V7_Aggressive,2024-11-12,007810,코리아써키트,8590,0.013126049897657277,-0.05,2,Stop_Loss
