date,code,PER,PBR
20151113,035620,,0.47
20151113,041910,17.71,0.63
20151113,036200,26.43,1.26
20151113,042940,,0.43
20151113,046120,11.74,1.65
20151113,043710,,1.32
20151113,052860,,1.19
20151113,048870,,1.02
20151113,052460,,0.81
20151113,049630,,1.73
20151113,048430,6.31,0.59
20151113,052790,8.04,0.29
20151113,046940,4.93,0.43
20151113,058450,,1.02
20151113,054220,,1.05
20151113,054630,,2.31
20151113,054410,16.75,0.37
20151113,066790,,2.72
20151113,069920,,1.01
20151113,071950,,
20151113,065710,15.65,2.05
20151113,056360,,0.41
20151113,069080,11.75,0.53
20151113,072470,,0.5
20151113,077970,20.36,4.12
20151113,078350,28.03,2.11
20151113,079970,,0.34
20151113,083310,,0.81
20151113,079950,,0.58
20151113,086040,,1.1
20151113,079550,28.97,6.51
20151113,085670,13.12,1.19
20151113,086220,,
20151113,086060,8.61,0.58
20151113,090850,7.72,1.12
20151113,093240,,0.51
20151113,088790,12.66,0.23
20151113,096690,,0.41
20151113,092590,,
20151113,097780,,0.3
20151113,089790,,0.7
20151113,088390,,0.49
20151113,098660,,0.85
20151113,104830,12.72,0.79
20151113,103660,,
20151113,114920,,
20151113,107640,29.58,5.73
20151113,101400,,0.58
20151113,099520,,2.49
20151113,113810,9.07,1.21
20151113,136660,,
20151113,121800,4.37,0.39
20151113,123410,3.91,0.67
20151113,124500,25.49,4.84
20151113,138930,6.6,0.44
20151113,180400,,32.11
20151113,141080,3100.0,9.49
20151113,190510,10.89,1.52
20151113,192440,5.72,0.25
20151113,192080,7.22,0.9
20151113,185490,,1.08
20151113,176750,31.19,5.82
20151113,202960,,
20151113,200470,,4.03
20151113,196490,,
20151113,206400,,0.91
20151113,203450,7.58,0.84
20151113,223220,,
20151113,208710,,0.72
20151113,229500,,
20151113,225220,,0.53
20151113,213420,21.83,2.32
20151116,000070,28.92,0.37
20151116,000157,,5.67
20151116,000220,15.92,0.61
20151116,004060,304.0,0.23
20151116,005110,0.46,1.24
20151116,005860,23.8,0.77
20151116,001200,6.39,0.29
20151116,001515,,1.55
20151116,006090,7.53,0.37
20151116,005960,,0.27
20151116,006400,,1.16
20151116,006740,,0.49
20151116,007390,,25.1
20151116,010470,6.38,0.53
20151116,014940,15.16,3.42
20151116,006920,119.8,0.99
20151116,009620,,3.64
20151116,008420,20.3,0.2
20151116,014200,,0.57
20151116,018700,,1.06
20151116,017000,19.96,0.24
20151116,011200,4.48,0.77
20151116,020150,,0.79
20151116,024740,23.78,0.53
20151116,019175,,5.03
20151116,019660,,2.75
20151116,019170,,2.78
20151116,021880,52.0,0.71
20151116,029480,,0.55
20151116,024880,5.57,0.41
20151116,025880,6.26,0.55
20151116,025620,,2.59
20151116,037760,,0.62
20151116,031820,6.8,0.35
20151116,035620,,0.47
20151116,036630,,0.46
20151116,034020,,6.58
20151116,033320,15.45,0.75
20151116,039420,7.99,0.95
20151116,039740,6.22,0.48
20151116,040160,,0.51
20151116,041590,,2.99
20151116,041460,12.36,1.07
20151116,041960,101.55,6.15
20151116,042940,,0.43
20151116,041910,17.71,0.63
20151116,043710,,1.32
20151116,043090,,0.21
20151116,043340,,1.6
