id,date,ticker,PBR,PER,status
20150120_011210,20150120,011210,0.4,9.88,OK
20150120_071950,20150120,071950,,,OK
20150120_098660,20150120,098660,0.85,,OK
20150120_134790,20150120,134790,0.59,,OK
20150121_002420,20150121,002420,1.2,,OK
20150121_000250,20150121,000250,19.85,,OK
20150120_202960,20150120,202960,,,OK
20150121_060260,20150121,060260,0.79,22.09,OK
20150121_005110,20150121,005110,1.24,0.46,OK
20150121_073010,20150121,073010,2.79,17.93,OK
20150121_131030,20150121,131030,0.72,11.78,OK
20150121_078150,20150121,078150,0.68,,OK
20150121_101490,20150121,101490,4.4,32.46,OK
20150121_202960,20150121,202960,,,OK
20150122_003120,20150122,003120,0.41,26.09,OK
20150122_035620,20150122,035620,0.47,,OK
20150122_007120,20150122,007120,0.44,,OK
20150122_008290,20150122,008290,1.12,,OK
20150122_044480,20150122,044480,0.45,,OK
20150122_053030,20150122,053030,2.51,,OK
20150122_088130,20150122,088130,0.44,21.32,OK
20150123_046940,20150123,046940,0.43,4.93,OK
20150123_076610,20150123,076610,2.22,,OK
20150123_082660,20150123,082660,7.74,,OK
20150123_131030,20150123,131030,0.72,11.78,OK
20150123_200670,20150123,200670,2.02,13.76,OK
20150126_005070,20150126,005070,3.31,127.39,OK
20150126_002990,20150126,002990,0.52,,OK
20150126_094360,20150126,094360,4.11,39.97,OK
20150126_094480,20150126,094480,3.01,88.42,OK
20150126_041590,20150126,041590,2.99,,OK
20150127_000760,20150127,000760,0.25,,OK
20150126_151910,20150126,151910,4.67,,OK
20150127_004960,20150127,004960,0.11,,OK
20150127_007770,20150127,007770,0.28,,OK
20150127_018700,20150127,018700,1.06,,OK
20150127_032685,20150127,032685,12.75,,OK
20150127_041590,20150127,041590,2.99,,OK
20150127_043610,20150127,043610,0.62,,OK
20150127_048410,20150127,048410,4.21,,OK
20150127_053270,20150127,053270,0.42,3.95,OK
20150127_064850,20150127,064850,1.53,16.54,OK
20150127_138360,20150127,138360,0.78,4.03,OK
20150127_089600,20150127,089600,0.74,,OK
20150127_187790,20150127,187790,2.19,4.23,OK
20150128_002995,20150128,002995,1.69,,OK
20150128_001470,20150128,001470,,,OK
20150128_017370,20150128,017370,0.72,4.01,OK
20150128_015710,20150128,015710,0.47,10.98,OK
20150128_052790,20150128,052790,0.29,8.04,OK
20150128_067390,20150128,067390,0.67,,OK
20150128_027970,20150128,027970,0.33,774.0,OK
20150128_069920,20150128,069920,1.01,,OK
20150128_079190,20150128,079190,1.08,,OK
20150128_187790,20150128,187790,2.19,4.23,OK
20150128_131970,20150128,131970,2.1,,OK
20150128_101730,20150128,101730,1.13,,OK
