재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기	전기	전전기	
재무상태표, 유동/비유동법-연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2020-03-31	사업보고서	KRW	ifrs-full_NoncurrentLeaseLiabilities	      리스부채	217,212,699		
재무상태표, 유동/비유동법-연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2020-03-31	사업보고서	KRW	ifrs-full_OtherNoncurrentFinancialLiabilities	      기타금융부채	56,170,970	56,170,970	206,170,970
재무상태표, 유동/비유동법-연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2020-03-31	사업보고서	KRW	dart_ConvertibleBonds	      전환사채	0	0	3,532,555,773
재무상태표, 유동/비유동법-연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2020-03-31	사업보고서	KRW	ifrs-full_Liabilities	   부채총계	16,293,352,322	18,957,538,831	18,768,660,365
재무상태표, 유동/비유동법-연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2020-03-31	사업보고서	KRW	ifrs-full_EquityAbstract	자본 [abstract]			
재무상태표, 유동/비유동법-연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2020-03-31	사업보고서	KRW	ifrs-full_EquityAttributableToOwnersOfParent	   지배기업의 소유주에게 귀속되는 자본	33,365,022,299	34,371,682,381	30,752,338,694
재무상태표, 유동/비유동법-연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2020-03-31	사업보고서	KRW	ifrs-full_IssuedCapital	      자본금	22,401,255,500	22,386,071,500	21,833,121,000
재무상태표, 유동/비유동법-연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2020-03-31	사업보고서	KRW	dart_CapitalSurplus	      기타불입자본	43,712,391,560	43,664,880,187	41,172,818,972
재무상태표, 유동/비유동법-연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2020-03-31	사업보고서	KRW	ifrs-full_RetainedEarnings	      이익잉여금(결손금)	-32,758,655,855	-31,672,784,858	-32,361,814,998
재무상태표, 유동/비유동법-연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2020-03-31	사업보고서	KRW	dart_ElementsOfOtherStockholdersEquity	      기타자본구성요소	10,031,094	-6,484,448	108,213,720
재무상태표, 유동/비유동법-연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2020-03-31	사업보고서	KRW	ifrs-full_NoncontrollingInterests	   비지배지분	0	0	0
재무상태표, 유동/비유동법-연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2020-03-31	사업보고서	KRW	ifrs-full_Equity	   자본총계	33,365,022,299	34,371,682,381	30,752,338,694
재무상태표, 유동/비유동법-연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2020-03-31	사업보고서	KRW	ifrs-full_EquityAndLiabilities	부채 및 자본 총계	49,658,374,621	53,329,221,212	49,520,999,059
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	ifrs-full_AssetsAbstract	자산 [abstract]			
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	ifrs-full_CurrentAssets	   유동자산	248,555,402,608	478,799,539,688	268,758,383,637
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	ifrs-full_CashAndCashEquivalents	      현금및현금성자산	69,806,738,399	122,986,211,759	53,509,862,897
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	dart_ShortTermTradeReceivable	      매출채권	84,967,284,805	104,945,550,415	80,862,783,752
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	ifrs-full_Inventories	      재고자산	33,664,676,310	58,629,571,881	51,456,822,550
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	ifrs-full_CurrentFinancialAssetsAtFairValueThroughProfitOrLossMandatorilyMeasuredAtFairValue	      당기손익-공정가치측정 금융자산	3,781,166,287	83,568,607,521	714,833,403
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	ifrs-full_OtherCurrentFinancialAssets	      기타유동금융자산	29,802,953,085	70,827,760,492	60,948,339,838
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	dart_OtherCurrentAssets	      기타유동자산	26,532,583,722	37,841,837,620	21,265,741,197
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	entity00365387_udf_BS_2020514164916387_AssetsAbstract	   매각예정비유동자산	106,131,231,143	22,255,855,417	1,243,312,447,574
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	ifrs-full_NoncurrentAssets	   비유동자산	1,233,483,716,249	1,302,199,830,881	1,063,068,630,148
