Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,"■ 영웅문4(HTS) - 키움 REST API, 키움 OPEN API + TR 매칭",,,
,,,,
,업데이트 일자  ,2025.11.06,,
,공식 홈페이지 주소,https://openapi.kiwoom.com/,,
,,,,
,영웅문4 화면번호,영웅문4 화면명,키움 REST API,키움 OPEN API + 
,0615,키움미니차트,"ka10079 주식틱차트조회요청
ka10080 주식분봉차트조회요청
ka10081 주식일봉차트조회요청
ka10082 주식주봉차트조회요청
ka10083 주식월봉차트조회요청","OPT10079 주식틱차트조회요청
OPT10080 주식분봉차트조회요청
OPT10081 주식일봉차트조회요청
OPT10082 주식주봉차트조회요청
OPT10083 주식월봉차트조회요청"
,0617,미니모아차트,"ka10079 주식틱차트조회요청
ka10080 주식분봉차트조회요청
ka10081 주식일봉차트조회요청","OPT10079 주식틱차트조회요청
OPT10080 주식분봉차트조회요청
OPT10081 주식일봉차트조회요청"
,0650,테마종목(테마그룹별),ka90001 테마그룹별요청,OPT90001 테마그룹별요청
,0651,테마종목_테마구성종목,ka90002 테마구성종목요청,OPT90002 테마구성종목요청
,0766,프로그램매매 - 프로그램순매수상위50,ka90003 프로그램순매수상위50요청,OPT90003 프로그램순매수상위50요청
,0767,프로그램매매 - 종목별프로그램매매현황,ka90004 종목별프로그램매매현황요청,OPT90004 종목별프로그램매매현황요청
,0768,프로그램매매 - 프로그램매매추이,ka90005 프로그램매매추이요청 시간대별,OPT90005 프로그램매매추이요청
,0773,차익잔고추이,ka90006 프로그램매매차익잔고추이요청,OPT90006 프로그램매매차익잔고추이요청
,0774,차익잔고현황,-,OPT90010 차익잔고현황요청
,0777,프로그램매매누적추이,ka90007 프로그램매매누적추이요청,OPT90007 프로그램매매누적추이요청
,0778,종목일별 프로그램매매추이,-,OPT90008 종목일별프로그램매매추이요청
,0785,외국인기관매매상위,ka90009 외국인기관매매상위요청,OPT90009 외국인기관매매상위요청
,0795,투자자별일별매매종목,ka10058 투자자별일별매매종목요청,OPT10058 투자자별일별매매종목요청
,0796,종목별투자자,"ka10059 종목별투자자기관별요청
ka10060 종목별투자자기관별차트요청
ka10061 종목별투자자기관별합계요청","OPT10059 종목별투자자기관별요청
OPT10060 종목별투자자기관별차트요청
OPT10061 종목별투자자기관별합계요청"
,0797,업종별투자자별순매수,ka10051 업종별투자자순매수요청,OPT10051 업종별투자자순매수요청
,0798,기관_외국인 동일순매매순위,ka10062 동일순매매순위요청,OPT10062 동일순매매순위요청
,0799,종목별 투자자2,ka10059 종목별투자자기관별요청,OPT10059 종목별투자자기관별요청
